Equipment ID,EquipmentName,UniqueName,BarcodeNumber,Category,Subcategory,SerialNumber,ModelNumber,Manufacturer,Location,Facility ResQ ID,Facility Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ11339,Bagel Cutter EQ11339,Bagel Cutter,EQ11339F186,Food Preparation Equipment,Smallware,,,Prince Castle,,F186,Tim Hortons #0737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ12985,Bagel Cutter EQ12985,Bagel Cutter,F322EQ12985,Food Preparation Equipment,Smallware,NA,EHBT22,Prince Castle,NA,F322,Tim Hortons #1989,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ7936,Bagel Cutter EQ7936,Bagel Cutter,EQ7936F251,Food Preparation Equipment,Smallware,AK00087441,AKPADBT3HW,Newco,behind Till 3,F251,Tim Hortons #2000,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ7960,Bagel Cutter EQ7960,Bagel Cutter,EQ127763021,Food Preparation Equipment,Smallware,Na,Osama,prince,NA,F250,Tim Hortons #3021,./image_Txw7JGN.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ8007,Bagel Cutter EQ8007,Bagel Cutter,EQ8007F249,Food Preparation Equipment,Smallware,JH,970-A,Prince Castle Inc,,F249,Tim Hortons #3143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ8041,Bagel Cutter EQ8041,Bagel Cutter,EQ8041F248,Food Preparation Equipment,Smallware,FJ,970 A,Prince Castle,,F248,Tim Hortons #5792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ8079,Bagel Cutter EQ8079,Bagel Cutter,EQ8079F189,Food Preparation Equipment,Smallware,CH,970-A,Prince Castle,,F189,Tim Hortons #2153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ8152,Bagel Cutter EQ8152,Bagel Cutter,EQ8152F246,Food Preparation Equipment,Smallware,BJ,970 A,Prince Castle,,F246,Tim Hortons #5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ8231,Bagel Cutter EQ8231,Bagel Cutter,EQ8231F245,Food Preparation Equipment,Smallware,EH,970A,Prince Castle,,F245,Tim Hortons #0460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9139,Bagel Cutter EQ9139,Bagel Cutter,EQ9139F276,Food Preparation Equipment,Smallware,169001,702-N,Oliver,,F276,Tim Hortons #1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9193,Bagel Cutter EQ9193,Bagel Cutter,EQ9193F274,Food Preparation Equipment,Smallware,168996,702-N,Oliver,,F274,Tim Hortons #0590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9235,Bagel Cutter EQ9235,Bagel Cutter,EQ9235F273,Food Preparation Equipment,Smallware,168993,702-N,Oliver,,F273,Tim Hortons #0683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9308,Bagel Cutter EQ9308,Bagel Cutter,EQ9308F230,Food Preparation Equipment,Smallware,Serial #:173624,702-N,Oliver,,F230,Tim Hortons #1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9309,Bagel Cutter EQ9309,Bagel Cutter,EQ9309F230,Food Preparation Equipment,Smallware,Serial #: 178451,702-N,Oliver,,F230,Tim Hortons #1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9362,Bagel Cutter EQ9362,Bagel Cutter,EQ9362F229,Food Preparation Equipment,Smallware,WIPED,970-A,Prince Castle,,F229,Tim Hortons #2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9401,Bagel Cutter EQ9401,Bagel Cutter,EQ9401F228,Food Preparation Equipment,Smallware,EJ,970-A,Prince Castle,,F228,Tim Hortons #2934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9443,Bagel Cutter EQ9443,Bagel Cutter,EQ9443F227,Food Preparation Equipment,Smallware,,970-A,Prince Castle,,F227,Tim Hortons #2967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
